Cluster;Latitude;Longitude
17;-26.4347441223;-44.1776580494
26;2.25850081522;1.35806958194
35;0.127285875969;-9.60943837209
44;-6.72965019147;8.16766353392
18;-13.7650946953;-38.5849239875
27;-8.91540640162;-67.8930082884
36;18.8079211061;-89.3760241309
45;2.01766248318;8.98643366031
19;-28.568609184;-111.000121406
28;20.3569028125;-115.456688542
37;32.1628018868;54.4355653774
46;-29.8304925946;-59.3369293514
29;2.01709696507;148.924644108
47;-50.6985063158;-56.2512621053
0;3.84783056707;-85.2246781555
39;-12.4395253904;163.848783117
48;-10.7994918103;-19.2645686207
1;-7.04680350575;-60.0082974425
49;-18.5299949624;-69.192873609
2;-15.8528410734;-50.8801084212
3;-2.38662719577;-63.8416695899
10;3.04671542584;-71.4297169432
4;-41.0437915275;-67.4552828717
11;7.09151901572;-75.1289967736
20;-11.4512960835;-57.0714366147
5;34.8223186957;-169.329264317
12;-5.0082712221;-53.8965412115
21;-14.3081602789;-43.89089499
30;-12.0083479802;-73.1653514312
13;-18.4361162771;-173.392813658
22;-21.6577879972;-46.6724882743
31;-33.8648839481;-39.0282492646
40;-30.8303718145;-42.2538618943
7;-3.70735213483;-48.5988144382
14;16.6818940625;-36.3800621875
23;-18.4262530719;58.8198094379
32;30.0485078298;-131.816472084
41;-20.6438490598;-140.776351776
8;-4.8475282235;-73.4222958916
15;-27.9992100868;-134.706410747
24;-15.2250381905;-55.3092676667
33;-23.7010665714;-45.9787839595
42;28.4118046296;-58.5641394444
9;-24.5696018575;22.2335900798
16;1.10411318367;-19.4760235918
25;-5.46884225772;-42.5299707561
34;-35.3541058824;-50.7357713725
43;-21.274594799;-50.3380313043
