Latitude,Longitude
-5.42424,-75.22648	
3.70716,-71.19968	
-11.00093,-52.94503	
-11.11236,-52.82292	
-23.31593,-51.20489	
-15.63483,-49.52013	
-15.75285,-49.46962	
-17.87786,-67.78016	
4.67679,-75.05603	
-25.14479,-47.42900	
-6.76482,-77.64508	
-6.77337,-77.67718	
-6.83016,-77.52368	
-6.83291,-77.51936	
-6.83536,-77.52673	
-19.29418,-139.76855	
-3.82710,-75.38441	
-3.86163,-75.27239	
-3.87281,-75.53673	
-3.91850,-75.23689	
-4.29131,-74.79595	
5.58589,-76.72590	
-19.02691,-51.12514	
-19.03100,-51.12299	
-19.03942,-51.16648	
-19.04919,-51.09679	
-4.24814,-74.25844	
25.22248,137.63396	
-4.22561,-74.42112	
-4.24818,-74.31554	
-24.23990,-138.18518	
-10.81152,-52.72068	
2.40613,-71.20908	
-19.04359,-139.50369	
-19.07882,-139.16701	
-19.09678,-139.50560	
-23.24307,-45.58043	
5.81105,-76.98590	
5.81873,-76.99361	
5.17260,-73.01472	
-12.10977,-72.14268	
5.81711,-75.77775	
5.83708,-75.78598	
5.87429,-75.88524	
-10.87369,-61.05427	
3.75939,-71.24194	
3.79115,-71.31610	
3.79811,-71.32895	
-17.02088,-68.49878	
-17.44535,-69.22374	
3.78333,-71.33456	
3.80359,-71.34192	
-11.95048,-72.02897	
-11.95558,-72.18692	
-12.93325,-57.25852	
-12.94070,-57.24564	
-17.05311,-68.57331	
-12.26175,-71.80023	
-4.24435,-74.35899	
3.79266,-71.40659	
39.17430,-111.45611	
-19.18016,-50.89679	
-19.24297,-50.91686	
-3.04253,-48.43547	
-4.45969,-74.23681	
-8.98716,-60.43825	
-12.77280,-75.42171	
-1.99296,-80.14907	
-5.43332,-47.91217	
-11.13463,-52.69221	
-24.96811,-140.00862	
-0.02725,-72.42738	
-11.24450,58.81991	
-23.29666,-51.34578	
-25.00699,-45.43370	
-26.82122,-136.34593	
4.08457,-74.92065	
-23.24469,-45.52954	
-23.71459,-47.86804	
-23.73023,-47.82728	
-25.22564,-44.98529	
-25.23277,-45.00206	
-25.24204,-46.71511	
-25.25443,-44.97302	
-27.19568,-136.39394	
-27.20089,-134.96034	
-27.54570,-133.91400	
-4.49908,-73.96908	
0.03986,-71.50164	
0.20699,-71.74189	
0.21903,-71.74226	
0.22289,-71.74767	
0.23383,-71.69418	
0.23777,-71.68555	
35.60388,-106.49172	
-4.36154,-74.23383	
-4.25347,-74.68628	
-4.34325,-74.07030	
-4.92555,-73.38437	
0.24823,-72.84241	
-24.42470,-138.09413	
-4.96208,-73.52926	
-11.84609,-72.07439	
-11.84756,-72.06460	
-8.07224,43.56406	
7.83378,-78.10171	
7.95470,-78.37137	
7.97321,-78.37183	
8.23563,-78.73975	
-8.75664,-60.73756	
-8.76622,-60.47771	
-9.19578,-59.84533	
47.17373,-140.40323	
-12.70725,-57.03231	
-20.55959,-54.37636	
-21.26181,-48.39416	
-12.93212,-57.03487	
-1.83703,-62.46500	
-1.85649,-62.44804	
-32.57650,-42.95152	
-5.32964,-75.47702	
-5.34972,-75.47598	
-5.35090,-75.54644	
-5.39937,-75.54100	
36.46685,-106.57716	
36.93444,-107.13554	
-10.24391,-75.46031	
-10.29078,-75.41753	
-10.32300,-75.35575	
-12.30668,-73.69498	
-32.55063,-43.13474	
3.48112,-70.98347	
3.79146,-71.32053	
6.25415,-73.87115	
6.26333,-73.88334	
6.27568,-73.98468	
6.31463,-74.03518	
6.32788,-74.13337	
-27.18381,-134.99495	
-27.19117,-134.98361	
-27.21723,-134.91400	
0.19654,-71.85288	
-5.38572,-75.13596	
-5.38647,-75.14904	
-5.39473,-75.27559	
5.09149,-73.24267	
-11.79434,-74.51373	
-17.45154,-139.09441	
-17.46534,-138.55345	
-17.58187,-138.15211	
-3.74646,-53.18112	
3.27081,-70.82468	
-12.09418,-72.06219	
-22.40573,-51.61269	
-25.16388,-45.38018	
-25.24857,-45.28884	
-17.86216,-67.81716	
-23.21665,-45.65861	
-25.24961,-45.45475	
-25.26764,-45.34260	
-25.31309,-45.30932	
-25.31363,-45.32631	
-25.33321,-45.47033	
3.83896,-71.23977	
3.87648,-71.42783	
6.20798,-73.98087	
-10.50780,-75.93626	
-5.40914,-75.43452	
-5.89999,-74.78815	
-5.55109,-75.84755	
-17.00590,-68.41495	
-4.10391,-76.41561	
-4.27608,-75.85807	
-20.85789,-53.17485	
-20.92332,-52.80793	
2.04524,-66.98598	
3.87587,-70.94484	
-12.67897,-72.24406	
-13.89591,-56.62707	
-42.97300,-65.82093	
4.12227,-71.84569	
-4.24921,-74.32239	
-12.24533,-74.37617	
-12.29045,-74.48073	
-23.36010,-45.83911	
-23.36629,-45.84365	
-4.55199,-75.79284	
-15.98470,-48.24638	
-13.51559,-52.39664	
-4.52107,-74.09581	
3.69718,-71.16177	
3.78700,-71.29419	
3.79639,-71.25832	
-12.94479,172.83006	
-19.96229,71.28370	
-32.21885,-43.06376	
-32.32196,-42.98401	
-32.34422,-43.01076	
-32.35098,-42.98519	
-32.50528,-42.98471	
-4.61228,-74.38439	
3.73866,-71.39452	
3.80127,-71.30527	
3.81382,-71.28402	
-12.93547,-73.27678	
-17.21689,28.03303	
6.21876,-8.42898	
-27.17266,-136.28990	
-4.14039,-75.11327	
-4.51347,-74.23232	
-6.95725,-21.74523	
0.25590,-63.15189	
0.29807,-63.13882	
-18.61438,-51.38726	
-25.45027,-135.53798	
3.97301,-71.33138	
4.68627,-74.90189	
-17.85432,-67.84296	
-17.86347,-67.61430	
-22.66614,-51.19847	
-20.54688,48.67481	
-5.10459,-76.20724	
-5.12351,-76.43044	
-5.18714,-75.51343	
-4.38070,-74.18782	
0.28500,-72.53163	
1.26931,-73.34577	
4.02133,-71.42899	
-21.30731,-48.23605	
-4.37294,-74.09367	
2.68707,-71.08138	
3.80662,-71.07721	
-12.24773,-74.81134	
-12.32683,-74.32365	
-12.32807,-74.53474	
-25.10740,-45.33766	
-4.81499,-75.97728	
3.96999,-71.61047	
-13.62955,-51.41077	
-23.23879,-51.35056	
-5.78097,-58.18408	
-5.96097,-57.90854	
-24.53617,-45.91243	
-1.33556,-68.47651	
-24.57740,-45.96763	
-24.79169,-45.45011	
-24.81118,-45.44057	
-24.81283,-45.43907	
-24.83998,-45.41217	
-27.19425,-134.88696	
-27.21428,-134.78207	
-27.51584,-133.97568	
-4.56067,-74.00979	
-8.86582,-60.39104	
5.51268,-71.44358	
5.57776,-71.49592	
-10.52383,-75.14930	
-18.97171,-51.24483	
5.36799,-74.15288	
5.54902,-74.29490	
5.56551,-74.31157	
5.56658,-74.35295	
-19.16973,-50.81334	
-20.60914,48.11911	
-17.64198,16.42153	
-19.53231,-139.52701	
-12.77238,-56.96890	
-13.03476,-56.89104	
-23.32341,-45.91980	
-5.69219,-47.13170	
-5.75440,-47.11441	
-5.77640,-47.11834	
3.95446,-71.45663	
-26.43811,-135.39255	
3.81466,-71.34427	
3.82046,-71.41086	
3.86102,-71.36971	
-2.45256,-50.07547	
-25.18486,-45.27618	
-25.19161,-45.15535	
-25.20308,-45.24712	
-25.20921,-45.27551	
-25.21259,-45.28849	
-25.23618,-45.24351	
-14.88560,-53.67645	
-15.25971,-53.41558	
-5.37654,-75.36937	
5.46296,-73.27287	
5.61332,-73.48087	
6.21875,-71.67669	
-12.73859,-57.26582	
-13.43970,-56.70615	
-18.02659,-67.54430	
-17.01343,-68.71842	
-17.03308,-68.47199	
-19.19400,-50.91045	
-19.20845,-50.94712	
-23.38479,-51.09499	
-20.96506,47.56337	
-24.82186,-45.64980	
-9.97202,-75.75423	
3.11047,-71.32144	
3.15176,-71.57769	
-5.97514,-66.68179	
3.86938,-71.29514	
3.88988,-71.58901	
3.90201,-71.01236	
4.12021,-71.68137	
3.20467,-70.69825	
4.02576,-71.58544	
4.08302,-71.61837	
-4.46506,-74.13140	
-10.23430,-75.67078	
-25.18502,-45.46782	
-25.23666,-45.44841	
-25.26243,-45.39116	
-25.27343,-45.39939	
-25.28565,-45.32268	
3.78892,-71.38793	
3.83936,-71.41585	
4.01990,-71.56499	
-12.74138,-57.27128	
-12.86452,-56.86367	
-13.42352,-56.68846	
-25.20079,-45.48444	
-4.86035,-73.67860	
3.66872,-71.37640	
-13.47946,-56.67569	
-18.06569,-67.50936	
-2.72800,97.24794	
-23.11447,-49.13821	
-23.25920,-48.89944	
-27.04604,-134.30908	
-4.80215,-75.65440	
-4.95238,-73.40568	
3.90626,-70.42876	
-13.63829,-51.42385	
-16.31929,-49.81217	
-19.10412,-51.30597	
-19.11141,-51.34056	
-23.91221,-48.54297	
5.95427,-74.79131	
8.58133,149.36183	
-18.52825,-142.00751	
-18.80939,-139.25900	
-24.02756,-135.85484	
3.93096,-70.19705	
-19.22270,-50.74754	
-3.11926,-15.80925	
-4.45174,-74.48935	
-4.93268,-75.68900	
3.94264,-71.51349	
3.94843,-71.47409	
9.07503,-83.67942	
-23.23421,-45.81881	
-3.44498,-52.98919	
-4.97182,-75.72737	
-4.99203,-75.66663	
-5.20841,-75.92672	
-5.84849,-74.68004	
-21.36981,-48.52141	
-21.39069,-48.32208	
-24.50043,-137.79764	
-24.53847,-137.27649	
-0.01046,-72.39714	
-0.05253,-72.41370	
-10.93649,-75.42580	
-10.93677,-75.47784	
0.09835,-72.54012	
0.23943,-68.87646	
2.75830,-66.50712	
3.85799,-73.96104	
-5.31936,-50.95158	
3.90676,-70.88084	
3.98993,-71.70447	
-23.73370,-47.03514	
-4.71478,-62.08100	
-18.17768,-50.90688	
-23.50595,-50.95013	
2.86268,-70.35241	
-4.17531,-74.47878	
-4.28249,-74.83208	
-5.45273,-75.03569	
-7.57005,-73.98016	
7.02708,-110.36836	
-12.75973,-57.02843	
-4.35956,-75.85196	
-4.37147,-75.94488	
-19.24311,65.19502	
-15.18280,-53.58696	
-2.00644,-62.26659	
-23.30094,-51.11256	
-23.34026,-51.03115	
-25.20738,-45.08920	
-14.82336,-53.68550	
-14.87872,-53.62610	
-14.88472,-53.56470	
-25.22657,-45.25901	
-27.20442,-136.03107	
-27.25348,-135.74234	
-27.29085,-135.73265	
-27.29465,-135.72176	
-27.32220,-135.78410	
-12.06958,-72.22855	
-4.69765,-73.81969	
-5.40377,-75.34750	
-15.81425,-49.35389	
-15.81715,-49.11913	
-15.83418,-49.28361	
-16.28902,-49.80621	
-16.32099,-49.70681	
-17.00307,-68.63146	
-17.01331,-68.56019	
-11.82517,-72.39393	
-15.85970,-49.29993	
-15.92755,-49.28952	
-16.14217,-49.12456	
-23.21589,-45.62503	
-5.45077,-74.07790	
-25.22059,-45.31063	
-19.20329,-50.76307	
6.03145,-76.36974	
-3.57630,-63.63936	
-4.08188,-74.71474	
-4.23619,-75.21094	
-4.96678,-73.56329	
3.92159,-70.76707	
-11.31339,-56.83317	
-11.43493,-56.60846	
-23.37069,-51.04586	
-23.79119,-47.69883	
4.04200,-71.40742	
-19.20006,-50.69650	
-12.53221,-74.04442	
-21.31565,31.89285	
-21.72768,-48.11595	
-12.15350,-74.61861	
-17.79334,-67.87741	
-25.18995,-45.50381	
-12.52838,-57.52974	
-13.86972,-56.40280	
-23.35644,-45.96809	
-23.38580,-45.90158	
-23.42455,-45.54377	
-23.44270,-45.54304	
-23.69105,-50.99945	
-25.29544,-45.11922	
-25.31159,-45.08977	
-25.31193,-45.09708	
-32.55344,-121.08172	
-4.49161,-73.99076	
-4.50258,-74.06355	
-4.50631,-73.95818	
3.72130,-71.19389	
3.73711,-71.25903	
3.74306,-71.27667	
3.74590,-71.28515	
3.87688,-71.30970	
6.07163,-84.55922	
-4.75714,-63.18031	
0.13784,-72.45015	
3.41743,-70.96433	
3.72195,-71.05943	
3.88465,-13.16162	
4.01509,-12.70323	
-1.32502,-68.47047	
-10.06793,-75.37997	
-4.18498,-74.25246	
3.98249,-70.95527	
3.98673,-71.65856	
5.87216,-72.60104	
-0.18399,-71.84469	
-0.21409,-72.40913	
-12.10130,-57.76797	
3.33143,-70.94225	
3.34207,-70.94769	
3.74922,-71.31063	
3.80075,-71.35667	
-27.19208,-135.46561	
-19.09951,-50.91917	
-25.60784,-138.01973	
3.31905,-70.87239	
3.35756,-70.92204	
3.87311,-71.38448	
-10.18649,-75.77411	
3.89286,-71.40108	
-26.85605,-137.38435	
-27.81673,-134.42766	
-4.65430,-75.83146	
3.12805,-71.33291	
3.20859,-71.55869	
6.21909,-77.47278	
5.22125,-73.06268	
5.29384,-73.30270	
-4.35479,-74.21893	
3.96115,-71.50652	
-20.86581,-52.66589	
-17.66454,-67.48286	
-19.84868,-140.72908	
-25.06652,-45.57360	
-17.77318,-137.61865	
-17.79634,-137.46484	
-4.21709,-74.65456	
-25.07788,-45.56406	
-18.40513,-135.75917	
-19.15043,-50.77220	
3.62515,-70.03596	
6.36736,-72.79741	
-7.50407,-74.14655	
-21.27979,-48.34818	
-21.28209,-48.37478	
-14.75545,-53.73170	
-1.43479,-63.38593	
-1.44771,-63.47673	
-1.44871,-63.45893	
-19.35419,-139.69804	
-19.38978,-139.53470	
-23.38575,-49.16154	
-23.50367,-49.08122	
-23.52052,-48.98611	
-23.52850,-49.01778	
-17.20071,-51.52309	
-17.20658,-51.50297	
-23.10370,-45.71472	
-5.66861,-75.16883	
3.07274,-71.43551	
3.89710,-71.37952	
4.13806,-71.15408	
-17.19213,-51.50328	
-27.07282,-45.07256	
8.47124,149.97852	
-12.05628,-72.06265	
-12.06521,-72.10285	
-12.76334,-57.03651	
-17.29059,-138.14882	
-17.96737,-136.18378	
3.89434,-71.21813	
-4.44937,-73.71182	
-4.47704,-74.00781	
-4.49108,-74.07893	
-4.52138,-74.15782	
-4.55631,-74.23032	
0.24837,-71.83671	
-17.74363,27.14285	
-17.88870,-137.55014	
-17.89062,-137.65656	
-32.60305,-42.95500	
-4.43696,-74.03905	
-4.43857,-74.04828	
-4.45534,-73.96490	
-4.47089,-74.02880	
-4.67229,-73.77915	
1.95514,-66.79168	
3.82100,-71.31440	
3.84065,-71.36760	
-5.28551,-75.63474	
-5.32913,-75.39877	
-5.34997,-75.42467	
-5.35382,-75.45015	
-15.18339,-53.58464	
3.81320,-71.53373	
-12.70750,-57.09776	
-13.15049,159.78682	
-13.48882,-56.62987	
-14.11470,-55.24522	
-4.41286,-74.23270	
-5.45345,-75.27650	
-8.61087,-76.56920	
-20.68902,48.37014	
-20.88407,47.97821	
-20.89500,47.95070	
-21.24406,47.36138	
-25.43496,-45.02243	
3.88335,-71.34013	
5.82033,-75.75461	
-14.89902,-53.60519	
-14.91272,-53.59084	
-14.95406,-53.61624	
3.71732,-68.44358	
-4.24161,-74.70753	
-4.24958,-74.64996	
-3.53828,-63.47922	
-7.78672,-73.53782	
-7.80412,-73.57729	
-5.34837,-75.06474	
-14.43211,178.78462	
-23.88905,-51.41330	
-25.20921,-45.07563	
-12.48071,171.25375	
-23.58097,-50.99584	
-5.32564,-47.59945	
-5.37235,-75.40930	
-5.40240,-75.38802	
-5.44951,-75.28072	
-5.48983,-75.20307	
3.34657,-70.99826	
4.40346,-55.09785	
-5.22086,-75.85866	
2.90542,-70.66548	
-12.75459,-57.46710	
-17.84234,-67.68533	
-11.80163,-72.46624	
-20.65333,-54.46650	
-20.71955,-54.56779	
-4.60108,-74.37134	
-25.26113,-45.49187	
-4.32406,-74.03383	
4.12496,-70.65874	
10.82560,-48.75941	
-23.13824,-142.02621	
8.09408,-73.02067	
-12.83998,-56.70835	
